store_name,category1,hashtag
고씨네고추장찌개,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 술이 다양해요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 건강한 맛이에요, 대화하기 좋아요, 기본 안주가 좋아요"
고씨네고추장찌개 방아실 한남점,한식,"특별한 메뉴가 있어요, 음식이 맛있어요, 친절해요, 단체모임 하기 좋아요, 매장이 넓어요, 양이 많아요, 야외공간이 멋져요, 인테리어가 멋져요"
고씨네고추장찌개 신논현점,한식,"아늑해요, 특별한 메뉴가 있어요, 음식이 빨리 나와요, 가성비가 좋아요, 술이 다양해요, 매장이 청결해요, 음식이 맛있어요, 화장실이 깨끗해요, 혼술하기 좋아요, 친절해요, 오래 머무르기 좋아요, 음악이 좋아요, 단체모임 하기 좋아요, 양이 많아요, 인테리어가 멋져요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 가로수길직영점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 술이 다양해요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 다산역점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 야외공간이 멋져요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 현지 맛에 가까워요, 음악이 좋아요, 술이 다양해요, 아이와 가기 좋아요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 집중하기 좋아요, 건강한 맛이에요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 발산점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 술이 다양해요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 메뉴 구성이 알차요, 양이 많아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 성수본점,중식,"좌석이 편해요, 특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 파티하기 좋아요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 음료가 맛있어요, 술이 다양해요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 건강한 맛이에요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 속초청초호점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 술이 다양해요, 아이와 가기 좋아요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 양재역점,중식,"특별한 메뉴가 있어요, 가성비가 좋아요, 컨셉이 독특해요, 음식이 맛있어요, 매장이 청결해요, 혼술하기 좋아요, 친절해요, 단체모임 하기 좋아요, 대화하기 좋아요"
넛츠비어 의정부역점,중식,"술이 다양해요, 특별한 메뉴가 있어요, 가성비가 좋아요, 음식이 맛있어요, 기본 안주가 좋아요, 인테리어가 멋져요"
넛츠비어 인천운서역점,중식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 술이 다양해요, 오래 머무르기 좋아요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 메뉴 구성이 알차요, 사진이 잘 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 대화하기 좋아요, 기본 안주가 좋아요"
넛츠비어 종각직영점,중식,"음료가 맛있어요, 특별한 메뉴가 있어요, 술이 다양해요, 가성비가 좋아요, 대화하기 좋아요, 매장이 청결해요, 음식이 맛있어요, 화장실이 깨끗해요, 사진이 잘 나와요, 친절해요, 단체모임 하기 좋아요, 라이브공연이 훌륭해요, 메뉴 구성이 알차요, 기본 안주가 좋아요, 음악이 좋아요, 인테리어가 멋져요"
대엽,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 룸이 잘 되어있어요, 단체모임 하기 좋아요, 재료가 신선해요, 인테리어가 멋져요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 음식이 빨리 나와요, 차분한 분위기에요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 건강한 맛이에요"
방아실 연탄구이,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 인테리어가 멋져요, 현지 맛에 가까워요, 잡내가 적어요, 가성비가 좋아요, 오래 머무르기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 메뉴 구성이 알차요, 양이 많아요, 음식이 빨리 나와요, 커피가 맛있어요, 친절해요, 건강한 맛이에요, 반찬이 잘 나와요, 대화하기 좋아요, 기본 안주가 좋아요"
휘뚜루,일식,"특별한 메뉴가 있어요, 매장이 청결해요, 화장실이 깨끗해요, 혼술하기 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 음악이 좋아요, 음료가 맛있어요, 술이 다양해요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 사진이 잘 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 건강한 맛이에요, 대화하기 좋아요, 기본 안주가 좋아요"
남영동양문 가로수길직영점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 구로디지털단지점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 잡내가 적어요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 친절해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 다산점,한식,"좌석이 편해요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 차분한 분위기에요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 동탄점,한식,"잡내가 적어요, 특별한 메뉴가 있어요, 음식이 빨리 나와요, 가성비가 좋아요, 컨셉이 독특해요, 고기 질이 좋아요, 음식이 맛있어요, 매장이 청결해요, 친절해요, 직접 잘 구워줘요, 주차하기 편해요, 단체모임 하기 좋아요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 재료가 신선해요, 반찬이 잘 나와요, 인테리어가 멋져요"
남영동양문 미아사거리점,한식,
남영동양문 반포직영점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 룸이 잘 되어있어요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 오래 머무르기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 배곧점,한식,"좌석이 편해요, 반려동물과 가기 좋아요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 룸이 잘 되어있어요, 단체모임 하기 좋아요, 재료가 신선해요, 야외공간이 멋져요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 본점,한식,"좌석이 편해요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 오래 머무르기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 부산동래점,한식,"잡내가 적어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 차분한 분위기에요, 음식이 맛있어요, 고기 질이 좋아요, 매장이 청결해요, 친절해요, 컨셉이 독특해요, 단체모임 하기 좋아요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 재료가 신선해요, 환기가 잘 돼요, 반찬이 잘 나와요, 인테리어가 멋져요"
남영동양문 상암점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 서대문역점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 컨셉이 독특해요, 친절해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 선릉직영점,한식,"반려동물과 가기 좋아요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 룸이 잘 되어있어요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 야외공간이 멋져요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 성수점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 잡내가 적어요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 신당점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 반찬이 잘 나와요"
남영동양문 안산고잔점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 음식이 빨리 나와요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 역삼점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 오래 머무르기 좋아요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 친절해요, 주차하기 편해요, 반찬이 잘 나와요"
남영동양문 영등포점,한식,"반려동물과 가기 좋아요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 화장실이 깨끗해요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 용인수지구청점,한식,"좌석이 편해요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 룸이 잘 되어있어요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 을지로점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 오래 머무르기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 일산라페스타점,한식,"반려동물과 가기 좋아요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 오래 머무르기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 코스요리가 알차요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 천안점,한식,"좌석이 편해요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 가성비가 좋아요, 오래 머무르기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 청주지웰점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 야외공간이 멋져요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 파주금촌점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 차분한 분위기에요, 컨셉이 독특해요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 판교점,한식,"아늑해요, 특별한 메뉴가 있어요, 잡내가 적어요, 가성비가 좋아요, 아이와 가기 좋아요, 매장이 청결해요, 음식이 맛있어요, 고기 질이 좋아요, 컨셉이 독특해요, 주차하기 편해요, 친절해요, 차분한 분위기에요, 단체모임 하기 좋아요, 매장이 넓어요, 양이 많아요, 메뉴 구성이 알차요, 뷰가 좋아요, 인테리어가 멋져요"
남영동양문 하남미사점,한식,"좌석이 편해요, 특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 환기가 잘 돼요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 아늑해요, 잡내가 적어요, 아이와 가기 좋아요, 가성비가 좋아요, 오래 머무르기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 메뉴 구성이 알차요, 양이 많아요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 컨셉이 독특해요, 차분한 분위기에요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
남영동양문 한남직영점,한식,"특별한 메뉴가 있어요, 매장이 청결해요, 고기 질이 좋아요, 단체모임 하기 좋아요, 재료가 신선해요, 비싼 만큼 가치있어요, 뷰가 좋아요, 인테리어가 멋져요, 잡내가 적어요, 가성비가 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 양이 많아요, 메뉴 구성이 알차요, 특별한 날 가기 좋아요, 음식이 빨리 나와요, 친절해요, 주차하기 편해요, 건강한 맛이에요, 반찬이 잘 나와요"
